F10_7,cascade_N_final,cascade_N_large_final,cascade_D_final,cascade_Ds_final,cascade_R_col_final,cascade_N_integrated,ms_N_final,ms_R_col_final,ms_N_integrated
70.0,32523.912190189687,18972.576222975036,13506.623720275755,13551.335967214653,0.4399417657187367,9095225.87201908,117243.45447455367,0.0,20818874.77943495
75.0,27998.69737217627,17264.046430028167,11796.95788346188,10734.650942148104,0.3909052740247932,8130035.762898762,98008.81392090552,0.0,18607159.88086032
80.0,24349.677187572433,15772.879599514596,10304.787090150032,8576.797588057838,0.348351361877194,7322818.342606394,90841.71350251314,0.0,17567282.072898045
85.0,21388.28555050213,14475.87268854694,9006.89486391954,6912.41286195519,0.31151484465762863,6641208.533216687,82397.03967851403,0.0,16074154.709407758
90.0,18971.82993814385,13351.426922649403,7881.670196184846,5620.403015494445,0.27970720837176777,6060744.185399295,72945.33296179505,0.0,14545561.587838054
95.0,16990.726348782868,12379.509923694864,6909.069469329022,4611.216425088005,0.25230694647093593,5562655.1997133745,62261.4311950086,0.0,13156621.374492474
100.0,15359.750353993231,11541.660720453805,6070.621360480963,3818.089633539427,0.22875352611070665,5132337.4339911025,59061.72424524329,0.0,12807736.124896731
105.0,14011.900214687352,10820.999927867997,5349.436964761855,3190.9002868193547,0.20854315906741105,4758282.568715117,55142.1252978353,0.0,11754542.202780683
110.0,12894.013979526531,10202.225116555539,4730.205132044849,2691.788862970992,0.19122533954574147,4431316.023615445,49197.32184569459,0.0,11029168.949161284
115.0,11963.586987431912,9671.582989362649,4199.164618498794,2292.003998069264,0.17639959380268574,4144046.196941535,44511.85460994509,0.0,10432384.367804654
120.0,11186.423356874755,9216.817065681314,3744.0517453697225,1969.6062911934403,0.16371218101991922,3890460.825940584,40886.28741831507,0.0,9708416.324202484
125.0,10534.875360302245,8827.09355538009,3354.026243024677,1707.781804922155,0.152852658906643,3665627.215381474,40025.46302794894,0.0,9409699.746115055
130.0,9986.503451142791,8492.910037056154,3019.579893794136,1493.5934140866366,0.143550324217948,3465466.777021746,35865.95974836531,0.0,8710904.687125491
135.0,9523.04199288336,8205.992188425902,2732.433221762786,1317.049804457458,0.13557058613491668,3286583.410499778,34522.78650219183,0.0,8462255.89177483
140.0,9129.590715720027,7959.183667095988,2485.4253288539303,1170.407048624039,0.12871134809587045,3126131.3702470236,31337.34139299991,0.0,7844234.411427256
145.0,8793.975532433758,7746.33365747782,2272.4013943851237,1047.6418749559386,0.12279947360685496,2981712.4302720134,30793.486239800353,0.0,7489352.444541844
150.0,8506.238421762599,7562.185815419272,2088.10157111528,944.0526063433267,0.11768740189546097,2851295.0335969934,29052.236290301877,0.0,7268267.4414377175
155.0,8258.227140741,7402.271504233415,1928.054172782351,855.9556365075861,0.11324996520292284,2733150.119145371,26710.670935349124,0.0,6927483.808402009
160.0,8043.263205755037,7262.809414399961,1788.4752465194197,780.4537913550763,0.10938144427519277,2625799.7336656684,27160.569214181218,0.0,6717427.559836017
165.0,7855.871977702354,7140.612944804817,1666.1759088895221,715.2590328975375,0.1059928841374592,2527975.5442902353,25057.562748061602,0.0,6456484.775885444
170.0,7691.5625280321065,7033.006119710789,1558.4782203722225,658.5564083213175,0.10300967956130075,2438585.09256279,22890.734607962553,0.0,6087183.665705536
175.0,7546.647737957749,6937.74832893916,1463.1398862061126,608.8994090185885,0.10036942922317618,2356684.1575150145,22821.848286797212,0.0,5860782.935794819
180.0,7418.097121760827,6852.967804244976,1378.2876968085775,565.1293175158505,0.09802004950050767,2281453.981515033,21466.668207165396,0.0,5691947.873519684
185.0,7303.41638932802,6777.103471509894,1302.3593474819534,526.3129178181266,0.09591813302497731,2212182.3982852213,21131.247308210313,0.0,5602252.160816568
190.0,7200.548923933248,6708.854631944767,1234.053090562984,491.69429198848167,0.09402753325421187,2148248.1157688913,20637.64691816297,0.0,5337798.651627265
195.0,7107.795251762233,6647.1378108095905,1172.2845583973549,460.6574409526429,0.09231815411797155,2089107.5672168103,18883.837620162354,0.0,5229955.24535826
200.0,7023.747290340657,6591.0500544668885,1116.1500377659709,432.69723587376825,0.09076492291629891,2034283.8660404743,17861.815098151088,0.0,4977979.921912323
205.0,6947.234732571354,6539.837942402121,1064.8954621655184,407.3967901692319,0.08934692478409235,1983357.493718044,17876.8158435686,0.0,4840468.841369377
210.0,6877.2813854602,6492.871598397824,1017.8904058761459,384.4097870623765,0.08804667791103922,1935958.4226092966,17644.956760285084,0.0,4719021.154277839
215.0,6813.06966181098,6449.623024447137,974.6064031391567,363.4466373638424,0.08684953008017099,1891759.432216211,18100.908099697634,0.0,4602654.249920942
220.0,6753.911736462909,6409.648134210203,934.5989689877765,344.26360225270537,0.08574315876754658,1850470.4220761338,17760.761520120894,0.0,4534321.83168835
225.0,6699.226138738683,6372.571923562425,897.4927590295099,326.65421517625884,0.08471715887601508,1811833.559938027,16034.83263166624,0.0,4340724.322474481
230.0,6648.518769257711,6338.076279300779,862.9693690111675,310.4424899569322,0.08376270404124676,1775619.132258618,16103.331444290432,0.0,4265175.37537577
